0.391,0.916,-0.087
-0.916,0.365,-0.167
-0.914,0.370,-0.168
-0.897,0.101,0.431
-0.941,0.180,-0.286
0.025,0.972,-0.235
0.444,0.889,-0.107
0.038,0.858,-0.513
0.544,0.762,-0.353
0.963,0.267,0.041
-0.929,0.077,-0.363
0.049,0.371,-0.927
0.535,0.292,-0.793
0.049,0.373,-0.927
-0.956,-0.199,0.217
0.049,0.373,-0.926
0.030,0.932,-0.362
0.472,0.852,-0.228
-0.932,0.008,0.362
-0.909,0.413,-0.063
-0.752,0.621,-0.220
0.018,0.996,-0.092
0.378,0.926,0.017
-0.863,0.166,0.478
0.956,0.293,0.027
-0.648,0.693,0.316
0.810,0.515,0.281
-0.929,0.077,-0.363
0.050,0.366,-0.929
0.537,0.285,-0.794
-0.912,0.059,0.406
-0.941,0.179,-0.286
0.013,0.999,0.046
-0.680,0.666,0.308
0.833,0.482,0.271
-0.841,0.075,-0.535
-0.841,0.079,-0.535
-0.837,0.098,-0.538
0.992,-0.022,-0.120
-0.870,0.185,-0.458
-0.869,0.190,-0.458
-0.863,0.208,-0.460
0.997,0.037,-0.070
-0.841,0.075,-0.535
-0.841,0.079,-0.535
-0.837,0.098,-0.538
0.992,-0.022,-0.120
-0.852,0.111,-0.511
-0.852,0.116,-0.511
-0.848,0.134,-0.513
0.995,-0.003,-0.104
-0.829,0.101,-0.550
-0.828,0.105,-0.550
0.991,0.004,-0.136
0.066,0.140,-0.988
-0.883,-0.046,-0.468
-0.970,-0.163,-0.181
-0.937,-0.285,0.200
-0.938,-0.283,0.200
0.993,-0.093,-0.068
0.060,0.239,-0.969
-0.850,0.049,-0.524
-0.966,-0.086,-0.245
-0.959,-0.237,0.158
0.993,-0.040,-0.108
-0.929,0.073,-0.363
0.051,0.370,-0.928
-0.989,-0.129,0.069
-0.812,0.133,-0.569
-0.952,-0.011,-0.305
0.989,0.009,-0.147
-0.812,0.130,-0.569
-0.952,-0.016,-0.304
0.989,0.008,-0.147
-0.882,0.470,0.033
-0.921,0.182,0.346
-0.687,0.703,0.183
-0.773,0.526,0.354
-0.801,0.262,0.539
-0.801,0.256,0.541
0.879,0.386,0.280
-0.837,0.236,-0.493
-0.971,0.082,-0.225
0.993,0.066,-0.096
-0.837,0.235,-0.493
-0.971,0.079,-0.224
0.993,0.065,-0.096
-0.880,0.162,-0.446
-0.987,0.009,-0.163
-0.961,-0.166,0.219
0.998,0.020,-0.057
-0.758,0.276,-0.591
-0.919,0.386,-0.075
-0.925,0.005,0.379
-0.965,0.217,-0.146
-0.933,-0.112,0.342
0.989,0.137,-0.046
-0.905,0.421,-0.065
0.962,0.273,0.000
0.581,0.406,-0.706
0.990,0.093,-0.110
0.339,0.940,0.037
-0.759,0.624,0.186
0.880,0.443,0.168
0.490,0.817,-0.303
0.021,0.993,-0.120
0.390,0.921,-0.008
-0.783,0.605,0.144
0.012,0.998,0.067
0.318,0.935,0.158
0.019,0.993,-0.121
0.874,0.450,0.184
-0.941,0.179,-0.286
0.020,0.991,-0.135
0.404,0.915,-0.019
0.019,0.994,-0.104
0.395,0.919,0.010
0.013,0.999,0.047
-0.682,0.663,0.310
0.832,0.485,0.270
0.018,0.999,-0.029
0.376,0.923,0.078
0.048,0.379,-0.924
0.532,0.301,-0.791
-0.927,0.087,-0.365
0.021,0.988,-0.150
0.402,0.915,-0.035
-0.679,0.672,0.296
0.829,0.496,0.258
-0.915,0.393,-0.092
0.036,0.850,-0.526
0.516,0.767,-0.382
-0.919,0.046,0.391
0.949,0.314,0.042
-0.738,0.645,0.198
0.013,1.000,0.008
0.334,0.937,0.104
0.030,0.936,-0.350
0.480,0.851,-0.211
0.011,0.998,0.069
0.320,0.934,0.160
0.980,0.090,-0.180
-0.720,0.646,0.252
0.859,0.460,0.223
-0.706,0.656,0.267
-0.790,0.267,0.552
-0.942,0.177,-0.286
0.047,0.512,-0.858
0.550,0.430,-0.716
0.886,0.434,0.163
-0.811,0.567,0.147
-0.856,0.161,0.491
-0.841,0.075,-0.535
-0.841,0.079,-0.535
-0.837,0.098,-0.538
0.992,-0.022,-0.120
-0.839,0.137,-0.526
-0.838,0.141,-0.526
0.993,0.024,-0.120
-0.827,0.106,-0.552
-0.830,0.097,-0.550
-0.824,0.123,-0.552
0.991,-0.007,-0.133
-0.829,0.101,-0.550
-0.828,0.105,-0.550
0.991,0.004,-0.136
0.066,0.141,-0.988
-0.882,-0.029,-0.471
-0.970,-0.162,-0.182
-0.938,-0.285,0.200
-0.937,-0.286,0.200
0.994,-0.084,-0.070
0.054,0.320,-0.946
-0.952,-0.003,-0.307
-0.978,-0.177,0.112
0.051,0.371,-0.927
-0.989,-0.128,0.067
-0.866,0.490,-0.102
-0.940,0.313,0.134
-0.911,0.063,0.407
-0.911,0.057,0.409
0.971,0.205,0.124
-0.736,0.675,0.055
-0.835,0.242,-0.494
-0.971,0.082,-0.225
0.993,0.069,-0.097
-0.944,0.167,-0.284
0.049,0.508,-0.860
-0.990,-0.056,0.131
-0.835,0.483,-0.264
-0.949,0.314,-0.013
-0.946,0.031,0.324
0.041,0.932,-0.360
-0.843,0.532,-0.074
-0.903,0.076,0.424
-0.903,0.081,0.423
0.963,0.230,0.138
0.054,0.567,-0.822
-0.974,0.149,-0.169
-0.974,-0.066,0.216
0.055,0.309,-0.950
-0.952,-0.013,-0.305
-0.976,-0.184,0.114
0.054,0.323,-0.945
-0.946,0.006,-0.323
0.987,0.017,-0.158
-0.813,0.128,-0.569
-0.952,-0.013,-0.305
0.989,0.006,-0.146
-0.977,0.053,0.207
0.035,0.881,-0.471
-0.930,0.168,0.328
0.043,0.909,-0.415
-0.858,0.503,-0.105
-0.939,0.317,0.133
-0.911,0.062,0.407
0.970,0.208,0.123
0.039,0.863,-0.503
-0.924,0.383,0.022
-0.934,0.115,0.338
0.021,0.998,-0.059
-0.696,0.711,0.098
-0.826,0.271,0.494
0.893,0.386,0.229
0.049,0.391,-0.919
-0.992,-0.112,0.065
-0.764,0.639,-0.095
-0.896,0.196,0.399
0.940,0.319,0.118
-0.948,0.260,-0.185
-0.979,0.013,0.203
-0.861,0.507,0.039
0.022,0.998,-0.056
-0.703,0.704,0.101
-0.827,0.259,0.498
0.895,0.381,0.231
0.023,0.993,-0.112
-0.808,0.534,0.250
-0.839,0.268,0.473
0.903,0.376,0.206
-0.667,0.740,0.083
-0.765,0.589,0.260
0.880,0.421,0.219
-0.933,0.121,-0.340
0.046,0.608,-0.792
-0.983,-0.008,0.183
0.033,0.945,-0.325
-0.877,0.464,0.125
-0.897,0.185,0.402
-0.912,-0.138,-0.387
-0.962,-0.256,-0.095
-0.963,-0.252,-0.096
-0.960,-0.263,-0.094
-0.960,-0.262,-0.094
0.990,-0.138,-0.017
0.989,-0.147,-0.016
0.988,-0.153,-0.015
-0.917,-0.162,-0.366
-0.958,-0.278,-0.074
-0.959,-0.271,-0.076
-0.956,-0.285,-0.072
-0.955,-0.288,-0.072
-0.955,-0.286,-0.072
0.987,-0.162,-0.003
0.987,-0.162,-0.003
0.989,-0.150,-0.006
-0.955,-0.288,-0.072
-0.958,-0.278,-0.074
-0.957,-0.280,-0.074
-0.954,-0.290,-0.071
-0.955,-0.289,-0.072
0.988,-0.153,-0.005
0.987,-0.163,-0.003
0.986,-0.169,-0.002
-0.910,-0.371,-0.187
-0.901,-0.428,0.070
-0.903,-0.424,0.069
-0.898,-0.435,0.072
-0.898,-0.435,0.072
-0.897,-0.435,0.072
-0.896,-0.439,0.073
-0.899,-0.432,0.071
0.961,-0.264,0.085
0.960,-0.267,0.086
0.961,-0.263,0.085
0.959,-0.270,0.086
-0.921,-0.227,-0.316
-0.945,-0.326,-0.031
-0.947,-0.320,-0.032
-0.945,-0.326,-0.031
-0.942,-0.336,-0.028
-0.942,-0.335,-0.029
0.983,-0.182,0.021
0.981,-0.192,0.022
0.980,-0.196,0.023
0.981,-0.194,0.023
-0.946,-0.322,-0.032
-0.948,-0.318,-0.033
-0.946,-0.324,-0.031
-0.943,-0.332,-0.029
-0.942,-0.335,-0.029
-0.944,-0.329,-0.030
0.981,-0.190,0.022
0.981,-0.190,0.022
0.980,-0.197,0.024
-0.922,-0.222,-0.317
-0.946,-0.322,-0.032
-0.948,-0.316,-0.033
-0.946,-0.322,-0.032
-0.942,-0.335,-0.028
-0.941,-0.337,-0.028
0.984,-0.179,0.020
0.982,-0.189,0.022
0.980,-0.196,0.023
0.981,-0.194,0.023
-0.881,0.053,0.471
-0.881,0.057,0.470
-0.881,0.059,0.469
-0.881,0.054,0.471
-0.881,0.054,0.471
-0.880,0.043,0.473
-0.880,0.044,0.473
0.938,0.053,0.342
0.938,0.043,0.344
0.938,0.037,0.345
0.938,0.038,0.345
0.938,0.040,0.345
-0.906,0.172,0.386
-0.906,0.176,0.385
-0.907,0.165,0.388
-0.907,0.165,0.388
-0.907,0.162,0.389
-0.906,0.169,0.387
0.951,0.116,0.286
0.951,0.113,0.287
0.951,0.111,0.287
-0.953,-0.025,-0.301
-0.987,-0.163,-0.012
-0.987,-0.158,-0.013
-0.985,-0.170,-0.010
-0.986,-0.169,-0.010
0.996,-0.080,0.034
0.995,-0.089,0.035
0.995,-0.095,0.036
-0.959,-0.054,-0.277
-0.982,-0.189,0.010
-0.983,-0.185,0.009
-0.980,-0.197,0.012
-0.980,-0.199,0.013
-0.980,-0.198,0.013
0.993,-0.106,0.048
0.993,-0.106,0.048
0.994,-0.094,0.046
-0.981,-0.196,0.012
-0.983,-0.185,0.009
-0.982,-0.188,0.010
-0.980,-0.199,0.012
-0.732,0.680,0.053
-0.849,0.230,0.476
0.914,0.349,0.204
0.016,1.000,-0.013
-0.731,0.619,0.287
-0.794,0.349,0.498
0.054,0.467,-0.883
-0.970,0.087,-0.226
-0.978,-0.111,0.175
0.052,0.483,-0.874
-0.963,0.114,-0.246
0.991,0.082,-0.109
-0.834,0.246,-0.494
-0.970,0.086,-0.225
0.993,0.072,-0.097
-0.946,0.159,-0.283
0.043,0.695,-0.718
-0.977,0.052,0.208
-0.843,0.538,-0.021
-0.915,0.350,0.201
-0.889,0.077,0.451
-0.890,0.088,0.448
0.958,0.233,0.167
0.017,0.999,0.051
-0.746,0.572,0.342
-0.791,0.294,0.536
-0.790,0.301,0.533
0.866,0.416,0.279
-0.872,0.126,-0.474
-0.981,-0.025,-0.191
-0.961,-0.190,0.199
0.997,0.000,-0.075
0.055,0.310,-0.949
-0.952,-0.012,-0.305
-0.976,-0.184,0.114
0.050,0.381,-0.923
-0.991,-0.120,0.066
-0.930,0.064,-0.361
0.051,0.371,-0.927
-0.989,-0.128,0.067
-0.946,0.174,-0.273
-0.945,0.181,-0.274
-1.000,0.023,0.007
-0.933,-0.152,0.327
-0.930,-0.165,0.330
0.999,0.024,0.045
0.027,0.962,-0.271
-0.877,0.268,0.398
0.027,0.986,-0.165
-0.744,0.668,0.026
-0.860,0.211,0.464
0.922,0.339,0.189
0.040,0.933,-0.359
-0.844,0.531,-0.074
-0.924,0.348,0.156
-0.903,0.086,0.422
0.963,0.233,0.137
0.035,0.966,-0.256
-0.816,0.578,-0.012
-0.895,0.398,0.202
-0.884,0.129,0.449
0.949,0.265,0.169
0.033,0.897,-0.440
-0.921,0.205,0.330
-0.817,0.565,-0.115
-0.913,0.390,0.115
-0.910,0.121,0.396
0.960,0.257,0.112
-0.747,0.632,0.206
-0.747,0.632,0.207
-0.809,0.453,0.373
-0.813,0.188,0.551
-0.814,0.180,0.553
0.903,0.314,0.293
0.020,1.000,-0.005
